帮我确认	bang wo que ren	1600	project_v2_colloquial
哔哩哔哩	bi li bi li	1600	project_v2_proper
别太离谱	bie tai li pu	1600	project_v2_colloquial
产教融合	chan jiao rong he	1000	project_v2_domain
超节点	chao jie dian	500	project_v2_hot
成渝地区	cheng yu di qu	1600	project_v2_proper
持续集成	chi xu ji cheng	1000	project_v2_domain
持续交付	chi xu jiao fu	1000	project_v2_domain
存款保险	cun kuan bao xian	1000	project_v2_domain
到家说一声	dao jia shuo yi sheng	1600	project_v2_colloquial
邓稼先	deng jia xian	1600	project_v2_proper
低空经济	di kong jing ji	500	project_v2_hot
电子签名	dian zi qian ming	1000	project_v2_domain
端侧推理	duan ce tui li	1000	project_v2_domain
端云协同	duan yun xie tong	500	project_v2_hot
蹲个后续	dun ge hou xu	600	project_v2_colloquial
多模态	duo mo tai	1000	project_v2_domain
多学科会诊	duo xue ke hui zhen	1000	project_v2_domain
发我一份	fa wo yi fen	1600	project_v2_colloquial
樊振东	fan zhen dong	1600	project_v2_proper
分布式追踪	fen bu shi zhui zong	1000	project_v2_domain
分级诊疗	fen ji zhen liao	1000	project_v2_domain
风险加权资产	feng xian jia quan zi chan	400	project_v2_domain
服务网格	fu wu wang ge	1000	project_v2_domain
个人信息保护	ge ren xin xi bao hu	1000	project_v2_domain
格式条款	ge shi tiao kuan	1000	project_v2_domain
供应链金融	gong ying lian jin rong	1000	project_v2_domain
国家电网	guo jia dian wang	1600	project_v2_proper
海南自贸港	hai nan zi mao gang	1600	project_v2_proper
合格投资者	he ge tou zi zhe	1000	project_v2_domain
合规审查	he gui shen cha	1000	project_v2_domain
河套深港	he tao shen gang	600	project_v2_proper
核心素养	he xin su yang	1000	project_v2_domain
狠狠期待	hen hen qi dai	600	project_v2_colloquial
横琴粤澳	heng qin yue ao	600	project_v2_proper
鸿蒙空间计算	hong meng kong jian ji suan	500	project_v2_hot
鸿蒙智行	hong meng zhi xing	1600	project_v2_proper
华为云	hua wei yun	1600	project_v2_proper
灰度发布	hui du fa bu	1000	project_v2_domain
回头细说	hui tou xi shuo	1600	project_v2_colloquial
记得吃饭	ji de chi fan	1600	project_v2_colloquial
技能化	ji neng hua	500	project_v2_hot
即时零售	ji shi ling shou	500	project_v2_hot
检索增强生成	jian suo zeng qiang sheng cheng	1000	project_v2_domain
教学评一体化	jiao xue ping yi ti hua	400	project_v2_domain
今天辛苦了	jin tian xin ku le	4000	project_v2_colloquial
竞态条件	jing tai tiao jian	400	project_v2_domain
净息差	jing xi cha	1000	project_v2_domain
精准用药	jing zhun yong yao	1000	project_v2_domain
具身智能	ju shen zhi neng	1000	project_v2_domain
举证责任	ju zheng ze ren	1000	project_v2_domain
可观测性	ke guan ce xing	1000	project_v2_domain
可信执行环境	ke xin zhi xing huan jing	400	project_v2_domain
科学教育	ke xue jiao yu	1000	project_v2_domain
跨境支付	kua jing zhi fu	1000	project_v2_domain
跨学科主题	kua xue ke zhu ti	400	project_v2_domain
蓝绿部署	lan lv bu shu	400	project_v2_domain
雷军	lei jun	1600	project_v2_proper
联邦学习	lian bang xue xi	1000	project_v2_domain
量化交易	liang hua jiao yi	1000	project_v2_domain
量子计算	liang zi ji suan	1000	project_v2_domain
临床路径	lin chuang lu jing	1000	project_v2_domain
临港新片区	lin gang xin pian qu	600	project_v2_proper
灵衢	ling qu	500	project_v2_hot
路上小心	lu shang xiao xin	4000	project_v2_colloquial
绿色金融	lv se jin rong	1000	project_v2_domain
蚂蚁集团	ma yi ji tuan	1600	project_v2_proper
慢病管理	man bing guan li	1000	project_v2_domain
美团	mei tuan	1600	project_v2_proper
明天再聊	ming tian zai liao	4000	project_v2_colloquial
内存泄漏	nei cun xie lou	1000	project_v2_domain
逆周期调节	ni zhou qi tiao jie	1000	project_v2_domain
拼多多	pin duo duo	1600	project_v2_proper
普惠金融	pu hui jin rong	1000	project_v2_domain
前海深港	qian hai shen gang	600	project_v2_proper
强化学习	qiang hua xue xi	1000	project_v2_domain
情绪价值	qing xu jia zhi	500	project_v2_hot
情绪拉满	qing xu la man	600	project_v2_colloquial
全红婵	quan hong chan	1600	project_v2_proper
人工智能赋能	ren gong zhi neng fu neng	500	project_v2_hot
人工智能通识课	ren gong zhi neng tong shi ke	400	project_v2_domain
日间手术	ri jian shou shu	1000	project_v2_domain
容器编排	rong qi bian pai	1000	project_v2_domain
稍等一下	shao deng yi xia	4000	project_v2_colloquial
生成式人工智能	sheng cheng shi ren gong zhi neng	1000	project_v2_domain
世界模型	shi jie mo xing	1000	project_v2_domain
收到请回复	shou dao qing hui fu	4000	project_v2_colloquial
首发经济	shou fa jing ji	500	project_v2_hot
数据出境	shu ju chu jing	1000	project_v2_domain
数字教材	shu zi jiao cai	1000	project_v2_domain
数字孪生	shu zi luan sheng	1000	project_v2_domain
数字人民币	shu zi ren min bi	1000	project_v2_domain
苏炳添	su bing tian	1600	project_v2_proper
诉前调解	su qian tiao jie	1000	project_v2_domain
太有感觉了	tai you gan jue le	1600	project_v2_colloquial
特性开关	te xing kai guan	1000	project_v2_domain
天府新区	tian fu xin qu	1600	project_v2_proper
屠呦呦	tu you you	1600	project_v2_proper
晚点联系	wan dian lian xi	4000	project_v2_colloquial
微专业	wei zhuan ye	400	project_v2_domain
稳稳拿下	wen wen na xia	600	project_v2_colloquial
我马上到	wo ma shang dao	4000	project_v2_colloquial
先码住	xian ma zhu	600	project_v2_colloquial
项目式学习	xiang mu shi xue xi	1000	project_v2_domain
小红书	xiao hong shu	1600	project_v2_proper
小米汽车	xiao mi qi che	1600	project_v2_proper
雄安新区	xiong an xin qu	1600	project_v2_proper
学分银行	xue fen yin hang	400	project_v2_domain
学业水平考试	xue ye shui ping kao shi	1000	project_v2_domain
药物警戒	yao wu jing jie	1000	project_v2_domain
医保支付	yi bao zhi fu	1000	project_v2_domain
以旧换新	yi jiu huan xin	500	project_v2_hot
依赖注入	yi lai zhu ru	1000	project_v2_domain
医学检验	yi xue jian yan	1000	project_v2_domain
