kind	left	middle	right	count
bigram	一举		一动	323
bigram	一些		东西	456
bigram	一些		事情	378
bigram	一些		问题	729
bigram	一件		事情	764
bigram	一切		都是	687
bigram	一动		不动	304
bigram	一口		一口	883
bigram	一台		电脑	271
bigram	一夜		之间	414
bigram	一天		到晚	480
bigram	一如		既往	727
bigram	一定		程度	1667
bigram	一定		要把	355
bigram	一席		之地	262
bigram	一年		一度	329
bigram	一张		照片	265
bigram	一本		正经	253
bigram	一步		一步	661
bigram	一段		时间	4538
bigram	一点		一点	442
bigram	一点		也不	942
bigram	一片		空白	273
bigram	一直		以为	409
bigram	一直		以来	1039
bigram	一直		没有	1224
bigram	一直		都在	336
bigram	一种		特殊	252
bigram	一篇		文章	756
bigram	一般		来说	939
bigram	一见		钟情	428
bigram	一起		分享	390
bigram	一起		吃饭	1200
bigram	七十		年代	315
bigram	万元		以上	388
bigram	三个		代表	473
bigram	三个		方面	459
bigram	三中		全会	288
bigram	三分		之一	900
bigram	三分		之二	396
bigram	三国		演义	250
bigram	上个		世纪	392
bigram	上市		公司	4280
bigram	上海		大众	400
bigram	上班		时间	280
bigram	上证		指数	408
bigram	下定		决心	362
bigram	下岗		职工	304
bigram	下载		地址	627
bigram	不会		出现	562
bigram	不会		忘记	355
bigram	不利		影响	256
bigram	不可		忽视	261
bigram	不可		缺少	378
bigram	不可		避免	967
bigram	不同		意见	258
bigram	不同		程度	853
bigram	不同		类型	398
bigram	不在		少数	245
bigram	不好		意思	8752
bigram	不容		乐观	251
bigram	不容		忽视	323
bigram	不敢		相信	425
bigram	不断		创新	265
bigram	不断		加强	250
bigram	不断		发展	427
bigram	不断		增加	510
bigram	不断		增强	324
bigram	不断		完善	459
bigram	不断		扩大	470
bigram	不断		提高	1203
bigram	不是		一个	1426
bigram	不是		很好	708
bigram	不是		没有	259
bigram	不止		一次	292
bigram	不用		担心	699
bigram	不用		注册	370
bigram	不由		自主	540
bigram	不知		不觉	1277
bigram	不算		什么	261
bigram	不管		怎样	313
bigram	不能		使用	419
bigram	不能		接受	423
bigram	不能		正常	245
bigram	不能		超过	246
bigram	不良		反应	346
bigram	不要		以为	451
bigram	不要		忘记	300
bigram	不要		轻易	303
bigram	不负		责任	749
bigram	不顾		一切	354
bigram	与此		同时	936
bigram	专业		人员	488
bigram	专业		人士	691
bigram	专业		人才	259
bigram	专业		技术	331
bigram	专业		生产	355
bigram	专业		知识	612
bigram	专家		学者	473
bigram	专家		认为	396
bigram	专项		整治	424
bigram	专项		资金	402
bigram	世界		一流	301
bigram	世界		冠军	352
bigram	世界		各国	700
bigram	世界		各地	954
bigram	世界		排名	251
bigram	世界		第一	500
bigram	世界		纪录	247
bigram	世界		经济	518
bigram	世界		著名	244
bigram	世界		银行	248
bigram	业内		人士	1180
bigram	业务		发展	263
bigram	业务		流程	350
bigram	业务		部门	243
bigram	业绩		增长	282
bigram	东北		地区	278
bigram	丝毫		没有	378
bigram	两个		孩子	333
bigram	两个		方面	517
bigram	两岸		关系	328
bigram	严厉		打击	286
bigram	严格		执行	515
bigram	严格		按照	547
bigram	严格		控制	387
bigram	严格		遵守	247
bigram	严重		影响	620
bigram	个人		主页	353
bigram	个人		信息	460
bigram	个人		意见	642
bigram	个人		日记	267
bigram	个人		电脑	275
bigram	个人		空间	652
bigram	个人		网站	304
bigram	个人		观点	1364
bigram	个人		认为	899
bigram	个人		资料	681
bigram	中产		阶级	316
bigram	中介		公司	300
bigram	中介		机构	441
bigram	中信		证券	340
bigram	中共		中央	858
bigram	中兴		通讯	256
bigram	中午		吃什么	25000
bigram	中华		文化	327
bigram	中华		民国	323
bigram	中华		民族	1704
bigram	中国		人寿	370
bigram	中国		人民	1365
bigram	中国		企业	1245
bigram	中国		传统	504
bigram	中国		公司	253
bigram	中国		公民	308
bigram	中国		内地	488
bigram	中国		军队	272
bigram	中国		制造	249
bigram	中国		古代	613
bigram	中国		国际	507
bigram	中国		大陆	1156
bigram	中国		女足	279
bigram	中国		学生	343
bigram	中国		市场	1541
bigram	中国		平安	243
bigram	中国		政府	1624
bigram	中国		教育	312
bigram	中国		文化	786
bigram	中国		最大	330
bigram	中国		汽车	268
bigram	中国		特色	1778
bigram	中国		电信	804
bigram	中国		电影	505
bigram	中国		石化	389
bigram	中国		石油	568
bigram	中国		社会	519
bigram	中国		移动	1251
bigram	中国		第一	551
bigram	中国		经济	1612
bigram	中国		网通	286
bigram	中国		联通	634
bigram	中国		股市	1006
bigram	中国		足协	399
bigram	中国		足球	882
bigram	中国		银行	864
bigram	中央		企业	276
bigram	中央		军委	274
bigram	中央		政府	583
bigram	中央		银行	269
bigram	中小		企业	2468
bigram	中小		学生	498
bigram	中山		大学	370
bigram	中心		主任	458
bigram	中心		城市	296
bigram	中日		关系	285
bigram	中秋		快乐	261
bigram	丰富		多彩	610
bigram	临床		应用	289
bigram	临床		研究	293
bigram	为您		提供	547
bigram	主办		单位	246
bigram	主导		地位	305
bigram	主流		媒体	249
bigram	主管		部门	2413
bigram	主营		业务	401
bigram	主要		任务	381
bigram	主要		体现	253
bigram	主要		内容	760
bigram	主要		包括	580
bigram	主要		原因	1503
bigram	主要		因素	317
bigram	主要		用于	524
bigram	主要		表现	462
bigram	主要		问题	373
bigram	主要		领导	431
bigram	举报		电话	2141
bigram	义务		教育	583
bigram	九十		年代	408
bigram	也不		例外	477
bigram	也不		可能	821
bigram	也不		知道	3242
bigram	也就		是说	2386
bigram	也是		一种	1028
bigram	乡镇		企业	359
bigram	了解		一下	501
bigram	了解		自己	290
