给予	gwyu#直	给ʲⁱ̌予	core
修正	xqvg#固		full-code-word
即可	jike#固		full-code-word
知道	vidc#固		full-code-word
只能	ving#固		full-code-word
简单	jmdj#固		full-code-word
计算	jisr#固		full-code-word
一下	yixx#固		full-code-word
一直	yivi#固		full-code-word
只是	viui#固		full-code-word
按时	anui#固		full-code-word
而是	erui#固		full-code-word
成为	igww#固		full-code-word
小时	xnui#固		full-code-word
简直	jmvi#固		full-code-word
任务	rfwu#固		full-code-word
时间	uijm#固		full-code-word
水平	uvpk#固		full-code-word
试试	uiui#固		full-code-word
神似	ufsi#固		full-code-word
传统	irts#固		full-code-word
台湾	tdwj#固		full-code-word
反应	fjyk#固		full-code-word
每周	mwvz#固		full-code-word
联系	lmxi#固		full-code-word
现金	xmjb#固		full-code-word
期间	qijm#固		full-code-word
极其	jiqi#固		full-code-word
在线	zdxm#固		full-code-word
只会	vihv#固		full-code-word
一片	yipm#固		full-code-word
美丽	mwli#固		full-code-word
想想	xlxl#固		full-code-word
按到	andc#固		full-code-word
微软	wwrr#固		full-code-word
位置	wwvi#固		full-code-word
事半功倍	ubgb#固		full-code-word
一	oba#1	横_一	symbol
丨	obl#1	竖_丨	symbol
丿	obp#1	撇_丿	symbol
丶	obd#1	点_丶	symbol
乛	obv#1	折_乛	symbol
乀	obn#1	捺_乀	symbol
鱼	oba#2	鱼	symbol
山	obe#4	山	symbol
缶	obf#5	缶	symbol
艮	obg#2	艮	symbol
鬼	obg#3	鬼	symbol
革	obg#4	革	symbol
骨	obg#5	骨	symbol
黑	obh#3	黑	symbol
亍	obi#2	亍	symbol
虫	obi#3	虫	symbol
金	obj#2	金	symbol
立	obl#3	立	symbol
龙	obl#4	龙	symbol
日	obo#1	日	symbol
月	obo#2	月	symbol
目	obo#3	目	symbol
求	obq#2	求	symbol
田	obt#1	田	symbol
石	obu#5	石	symbol
文	obw#4	文	symbol
羊	oby#5	羊	symbol
凹	oxa#1	凹	symbol
百	oxb#1	百	symbol
白	oxb#2	白	symbol
八	oxb#3	八	symbol
卜	oxb#4	卜	symbol
匕	oxb#5	匕	symbol
卞	oxb#6	卞	symbol
不	oxb#7	不	symbol
巴	oxb#8	巴	symbol
本	oxb#9	本	symbol
必	oxb#10	必	symbol
丙	oxb#11	丙	symbol
半	oxb#12	半	symbol
办	oxb#13	办	symbol
寸	oxc#1	寸	symbol
才	oxc#2	才	symbol
册	oxc#3	册	symbol
匆	oxc#4	匆	symbol
大	oxd#1	大	symbol
丁	oxd#2	丁	symbol
刀	oxd#3	刀	symbol
歹	oxd#4	歹	symbol
刁	oxd#5	刁	symbol
东	oxd#6	东	symbol
丹	oxd#7	丹	symbol
电	oxd#8	电	symbol
氐	oxd#9	氐	symbol
二	oxe#1	二	symbol
耳	oxe#2	耳	symbol
儿	oxe#3	儿	symbol
而	oxe#4	而	symbol
非	oxf#1	非	symbol
方	oxf#2	方	symbol
飞	oxf#3	飞	symbol
夫	oxf#4	夫	symbol
凡	oxf#5	凡	symbol
甫	oxf#6	甫	symbol
弗	oxf#7	弗	symbol
乏	oxf#8	乏	symbol
丰	oxf#9	丰	symbol
广	oxg#1	广	symbol
弓	oxg#2	弓	symbol
戈	oxg#3	戈	symbol
工	oxg#4	工	symbol
瓜	oxg#5	瓜	symbol
干	oxg#6	干	symbol
个	oxg#7	个	symbol
甘	oxg#8	甘	symbol
丐	oxg#9	丐	symbol
果	oxg#10	果	symbol
更	oxg#11	更	symbol
夬	oxg#12	夬	symbol
禾	oxh#1	禾	symbol
户	oxh#2	户	symbol
互	oxh#3	互	symbol
乎	oxh#4	乎	symbol
火	oxh#5	火	symbol
川	oxi#1	川	symbol
厂	oxi#2	厂	symbol
车	oxi#3	车	symbol
长	oxi#4	长	symbol
叉	oxi#5	叉	symbol
尺	oxi#6	尺	symbol
丑	oxi#7	丑	symbol
臣	oxi#8	臣	symbol
成	oxi#9	成	symbol
垂	oxi#10	垂	symbol
斥	oxi#11	斥	symbol
串	oxi#12	串	symbol
产	oxi#13	产	symbol
出	oxi#14	出	symbol
巾	oxj#1	巾	symbol
几	oxj#2	几	symbol
九	oxj#3	九	symbol
斤	oxj#4	斤	symbol
久	oxj#5	久	symbol
巨	oxj#6	巨	symbol
己	oxj#7	己	symbol
井	oxj#8	井	symbol
及	oxj#9	及	symbol
夹	oxj#10	夹	symbol
甲	oxj#11	甲	symbol
臼	oxj#12	臼	symbol
韭	oxj#13	韭	symbol
戋	oxj#14	戋	symbol
柬	oxj#15	柬	symbol
击	oxj#16	击	symbol
口	oxk#1	口	symbol
开	oxk#2	开	symbol
亏	oxk#3	亏	symbol
了	oxl#1	了	symbol
力	oxl#2	力	symbol
乐	oxl#3	乐	symbol
来	oxl#4	来	symbol
良	oxl#5	良	symbol
两	oxl#6	两	symbol
里	oxl#7	里	symbol
吏	oxl#8	吏	symbol
耒	oxl#9	耒	symbol
卵	oxl#10	卵	symbol
丽	oxl#11	丽	symbol
木	oxm#1	木	symbol
毛	oxm#2	毛	symbol
米	oxm#3	米	symbol
门	oxm#4	门	symbol
马	oxm#5	马	symbol
皿	oxm#6	皿	symbol
末	oxm#7	末	symbol
灭	oxm#8	灭	symbol
母	oxm#9	母	symbol
民	oxm#10	民	symbol
么	oxm#11	么	symbol
面	oxm#12	面	symbol
廿	oxn#1	廿	symbol
女	oxn#2	女	symbol
牛	oxn#3	牛	symbol
鸟	oxn#4	鸟	symbol
乃	oxn#5	乃	symbol
内	oxn#6	内	symbol
农	oxn#7	农	symbol
年	oxn#8	年	symbol
片	oxp#1	片	symbol
平	oxp#2	平	symbol
爿	oxp#3	爿	symbol
七	oxq#1	七	symbol
千	oxq#2	千	symbol
犬	oxq#3	犬	symbol
且	oxq#4	且	symbol
丘	oxq#5	丘	symbol
曲	oxq#6	曲	symbol
气	oxq#7	气	symbol
乞	oxq#8	乞	symbol
人	oxr#1	人	symbol
入	oxr#2	入	symbol
冉	oxr#3	冉	symbol
壬	oxr#4	壬	symbol
刃	oxr#5	刃	symbol
三	oxs#1	三	symbol
巳	oxs#2	巳	symbol
肃	oxs#3	肃	symbol
土	oxt#1	土	symbol
天	oxt#2	天	symbol
太	oxt#3	太	symbol
屯	oxt#4	屯	symbol
十	oxu#1	十	symbol
尸	oxu#2	尸	symbol
士	oxu#3	士	symbol
手	oxu#4	手	symbol
身	oxu#5	身	symbol
水	oxu#6	水	symbol
上	oxu#7	上	symbol
少	oxu#8	少	symbol
术	oxu#9	术	symbol
失	oxu#10	失	symbol
生	oxu#11	生	symbol
世	oxu#12	世	symbol
申	oxu#13	申	symbol
史	oxu#14	史	symbol
升	oxu#15	升	symbol
