text	pinyin	frequencyTier	category	sourceId	updatedAt	expiresAt	domain	layer	processingRule
具身智能	ju shen zhi neng	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
世界模型	shi jie mo xing	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
多模态	duo mo tai	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
检索增强生成	jian suo zeng qiang sheng cheng	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
生成式人工智能	sheng cheng shi ren gong zhi neng	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
端侧推理	duan ce tui li	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
强化学习	qiang hua xue xi	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
联邦学习	lian bang xue xi	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
隐私计算	yin si ji suan	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
可信执行环境	ke xin zhi xing huan jing	low	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
数字孪生	shu zi luan sheng	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
量子计算	liang zi ji suan	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
端云协同	duan yun xie tong	normal	domain_term	project-v2-domain	2026-08-14		technology	domain	manual-domain-taxonomy-v1
持续集成	chi xu ji cheng	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
持续交付	chi xu jiao fu	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
容器编排	rong qi bian pai	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
服务网格	fu wu wang ge	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
可观测性	ke guan ce xing	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
分布式追踪	fen bu shi zhui zong	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
灰度发布	hui du fa bu	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
蓝绿部署	lan lv bu shu	low	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
特性开关	te xing kai guan	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
依赖注入	yi lai zhu ru	normal	domain_term	project-v2-domain	2026-08-14		software	domain	manual-domain-taxonomy-v1
