## 符号组
$CC("[标点]d", ime.pair("“", "”"))	ofb
$CC("[偏旁]p", type("勹"))	ofp
$CC("[拼音]y", type("ā"))	ofp
$CC("[单位]w", type("㎎"))	ofd
$CC("[箭头]t", type("←"))	ofj
$CC("[上标]b", type("¹"))	ofu
$CC("[下标]b", type("₁"))	ofx
$CC("[圆圈数字]u", type("①"))	ofy
$CC("[括号数字]u", type("⑴"))	ofk
$CC("[点号数字]u", type("⒈"))	ofd
$CC("[中文数字]u", type("㈠"))	ofv
$CC("[罗马大写]d", type("Ⅰ"))	ofl
$CC("[罗马小写]x", type("ⅰ"))	ofl
$CC("[特殊符号]u", type("℃"))	oft
$CC("[数学符号]x", type("＋"))	ofu
$CC("[货币符号]b", type("€"))	ofh
$CC("[制表符号]b", type("┌"))	ofv
$CC("[注音符号]y", type("ㄅ"))	ofv
$CC("[希腊大写]d", type("Α"))	ofx
$CC("[希腊小写]x", type("α"))	ofx
$CC("[俄文大写]d", type("А"))	ofe
$CC("[俄文小写]x", type("а"))	ofe
$CC("[日文大写]d", type("ァ"))	ofr
$CC("[日文小写]x", type("ぁ"))	ofr
$CC("“”", ime.pair("“", "”"))	ofbd
$CC("‘’", ime.pair("‘", "’"))	ofbd
$CC("《》", ime.pair("《", "》"))	ofbd
$CC("〈〉", ime.pair("〈", "〉"))	ofbd
$CC("（）", ime.pair("（", "）"))	ofbd
$CC("〔〕", ime.pair("〔", "〕"))	ofbd
$CC("「」", ime.pair("「", "」"))	ofbd
$CC("『』", ime.pair("『", "』"))	ofbd
$CC("【】", ime.pair("【", "】"))	ofbd
$CC("〖〗", ime.pair("〖", "〗"))	ofbd
$CC("［］", ime.pair("［", "］"))	ofbd
$CC("｛｝", ime.pair("｛", "｝"))	ofbd
．	ofbd
。	ofbd
，	ofbd
、	ofbd
；	ofbd
：	ofbd
？	ofbd
！	ofbd
…	ofbd
—	ofbd
·	ofbd
ˉ	ofbd
ˇ	ofbd
¨	ofbd
々	ofbd
～	ofbd
‖	ofbd
∶	ofbd
＂	ofbd
＇	ofbd
｀	ofbd
｜	ofbd
㎎	ofdw
㎏	ofdw
㎜	ofdw
㎝	ofdw
㎞	ofdw
㎡	ofdw
nm	ofdw
μm	ofdw
μg	ofdw
㏄	ofdw
㏎	ofdw
㏑	ofdw
㏒	ofdw
㏕	ofdw
А	ofed
Б	ofed
В	ofed
Г	ofed
Д	ofed
Е	ofed
Ж	ofed
З	ofed
И	ofed
Й	ofed
К	ofed
Л	ofed
М	ofed
Н	ofed
О	ofed
П	ofed
Р	ofed
С	ofed
Т	ofed
У	ofed
Ф	ofed
Х	ofed
Ц	ofed
Ч	ofed
Ш	ofed
Щ	ofed
Ъ	ofed
Ы	ofed
Ь	ofed
Э	ofed
Ю	ofed
Я	ofed
Ё	ofed
а	ofex
б	ofex
в	ofex
г	ofex
д	ofex
е	ofex
ж	ofex
з	ofex
и	ofex
й	ofex
к	ofex
л	ofex
м	ofex
н	ofex
о	ofex
п	ofex
р	ofex
с	ofex
т	ofex
у	ofex
ф	ofex
х	ofex
ц	ofex
ч	ofex
ш	ofex
щ	ofex
ъ	ofex
ы	ofex
ь	ofex
э	ofex
ю	ofex
я	ofex
ё	ofex
⒈	ofdu
⒉	ofdu
⒊	ofdu
⒋	ofdu
⒌	ofdu
⒍	ofdu
⒎	ofdu
⒏	ofdu
⒐	ofdu
⒑	ofdu
⒒	ofdu
⒓	ofdu
⒔	ofdu
⒕	ofdu
⒖	ofdu
⒗	ofdu
⒘	ofdu
⒙	ofdu
⒚	ofdu
⒛	ofdu
⑴	ofku
⑵	ofku
⑶	ofku
⑷	ofku
⑸	ofku
⑹	ofku
⑺	ofku
⑻	ofku
⑼	ofku
⑽	ofku
⑾	ofku
⑿	ofku
⒀	ofku
⒁	ofku
⒂	ofku
⒃	ofku
⒄	ofku
⒅	ofku
⒆	ofku
⒇	ofku
€	ofhb
$	ofhb
￠	ofhb
£	ofhb
￡	ofhb
¥	ofhb
฿	ofhb
ァ	ofrd
ア	ofrd
ィ	ofrd
イ	ofrd
ゥ	ofrd
ウ	ofrd
ェ	ofrd
エ	ofrd
ォ	ofrd
オ	ofrd
カ	ofrd
ガ	ofrd
キ	ofrd
ギ	ofrd
ク	ofrd
グ	ofrd
ケ	ofrd
ゲ	ofrd
コ	ofrd
ゴ	ofrd
サ	ofrd
ザ	ofrd
シ	ofrd
ジ	ofrd
ス	ofrd
ズ	ofrd
セ	ofrd
ゼ	ofrd
ソ	ofrd
ゾ	ofrd
タ	ofrd
ダ	ofrd
チ	ofrd
ヂ	ofrd
ッ	ofrd
ツ	ofrd
ヅ	ofrd
テ	ofrd
デ	ofrd
ト	ofrd
ド	ofrd
ナ	ofrd
ニ	ofrd
ヌ	ofrd
ネ	ofrd
ノ	ofrd
ハ	ofrd
バ	ofrd
パ	ofrd
ヒ	ofrd
ビ	ofrd
ピ	ofrd
フ	ofrd
ブ	ofrd
プ	ofrd
ヘ	ofrd
ベ	ofrd
ペ	ofrd
ホ	ofrd
ボ	ofrd
ポ	ofrd
マ	ofrd
ミ	ofrd
ム	ofrd
メ	ofrd
モ	ofrd
ャ	ofrd
ヤ	ofrd
ュ	ofrd
ユ	ofrd
ョ	ofrd
ヨ	ofrd
ラ	ofrd
リ	ofrd
ル	ofrd
レ	ofrd
ロ	ofrd
ヮ	ofrd
ワ	ofrd
ヰ	ofrd
ヱ	ofrd
ヲ	ofrd
ン	ofrd
ヴ	ofrd
ヵ	ofrd
ヶ	ofrd
ー	ofrd
ヽ	ofrd
ヾ	ofrd
←	ofjt
→	ofjt
↑	ofjt
↓	ofjt
↗	ofjt
↖	ofjt
↙	ofjt
↘	ofjt
↔	ofjt
⇆	ofjt
⇤	ofjt
⇥	ofjt
«	ofjt
»	ofjt
ぁ	ofrx
あ	ofrx
ぃ	ofrx
い	ofrx
ぅ	ofrx
う	ofrx
ぇ	ofrx
え	ofrx
ぉ	ofrx
お	ofrx
か	ofrx
が	ofrx
き	ofrx
ぎ	ofrx
ぱ	ofrx
く	ofrx
ぐ	ofrx
け	ofrx
げ	ofrx
こ	ofrx
ご	ofrx
さ	ofrx
ざ	ofrx
し	ofrx
じ	ofrx
す	ofrx
ず	ofrx
せ	ofrx
ぜ	ofrx
そ	ofrx
ぞ	ofrx
た	ofrx
だ	ofrx
ち	ofrx
ぢ	ofrx
っ	ofrx
つ	ofrx
づ	ofrx
て	ofrx
で	ofrx
と	ofrx
ど	ofrx
な	ofrx
に	ofrx
ぬ	ofrx
ね	ofrx
の	ofrx
は	ofrx
ば	ofrx
ひ	ofrx
び	ofrx
ぴ	ofrx
ふ	ofrx
ぶ	ofrx
ぷ	ofrx
へ	ofrx
べ	ofrx
ぺ	ofrx
ほ	ofrx
ぼ	ofrx
ぽ	ofrx
ま	ofrx
み	ofrx
む	ofrx
め	ofrx
も	ofrx
ゃ	ofrx
や	ofrx
ゅ	ofrx
ゆ	ofrx
ょ	ofrx
よ	ofrx
ら	ofrx
り	ofrx
る	ofrx
れ	ofrx
ろ	ofrx
ゎ	ofrx
わ	ofrx
ゐ	ofrx
ゑ	ofrx
を	ofrx
ん	ofrx
゛	ofrx
゜	ofrx
ゝ	ofrx
ゞ	ofrx
勹	ofpp
灬	ofpp
冫	ofpp
艹	ofpp
屮	ofpp
辶	ofpp
刂	ofpp
匚	ofpp
阝	ofpp
廾	ofpp
丨	ofpp
虍	ofpp
彐	ofpp
卩	ofpp
钅	ofpp
冂	ofpp
冖	ofpp
宀	ofpp
疒	ofpp
肀	ofpp
丿	ofpp
攵	ofpp
凵	ofpp
犭	ofpp
亻	ofpp
彡	ofpp
饣	ofpp
礻	ofpp
扌	ofpp
氵	ofpp
纟	ofpp
亠	ofpp
囗	ofpp
忄	ofpp
讠	ofpp
衤	ofpp
廴	ofpp
尢	ofpp
夂	ofpp
丶	ofpp
丬	ofpp
ā	ofpy
á	ofpy
ǎ	ofpy
à	ofpy
ō	ofpy
ó	ofpy
ǒ	ofpy
ò	ofpy
ē	ofpy
é	ofpy
ě	ofpy
è	ofpy
ê	ofpy
ī	ofpy
í	ofpy
ǐ	ofpy
ì	ofpy
ū	ofpy
ú	ofpy
ǔ	ofpy
ù	ofpy
ü	ofpy
ǖ	ofpy
ǘ	ofpy
ǚ	ofpy
ǜ	ofpy
ḿ	ofpy
m̀	ofpy
ń	ofpy
ň	ofpy
ǹ	ofpy
Ⅰ	ofld
Ⅱ	ofld
Ⅲ	ofld
Ⅳ	ofld
Ⅴ	ofld
Ⅵ	ofld
Ⅶ	ofld
Ⅷ	ofld
