---config@码表分类=主码-7
---config@码表别名=全码词
按键	anjm#删
按理	anli#删
黯然	anrj#删
暗自	anzi#删
背景	bwjk#删
不再	buzd#删
补全	buqr#删
把守	bauz#删
把戏	baxi#删
报仇	bciz#删
宝剑	bcjm#删
保鲜	bcxm#删
拜年	bdnm#删
摆脱	bdto#删
鼻塞	bise#删
编程	bmig#删
辩解	bmjp#删
便签	bmqm#删
表哥	bnge#删
博学	boxt#删
波音	boyb#删
憋屈	bpqu#删
背部	bwbu#删
杯子	bwzi
博而不精	bebj#删
不着边际	bvbj#删
百思不得其解	bsbj#删
猜忌	cdji#删
伺候	cihz#删
餐馆	cjgr#删
残局	cjju#删
惨死	cjsi#删
撺掇	crdo#删
存管	cygr#删
彩蛋	cddj#删
单元	djyr#删
大于	dayu#删
打架	dajx#删
达到	dadc#删
导出	dciu#删
搭车	daie#删
打理	dali#删
倒逼	dcbi#删
呆板	ddbj#删
代购	ddgz#删
带回	ddhv#删
代驾	ddjx#删
得志	devi#删
得以	deyi#删
登记	dgji#删
当众	dhvs#删
地痞	dipi#删
淡季	djji#删
顶住	dkvu#删
跌价	dpjx#删
断点	drdm#删
短篇	drpm#删
动机	dsji#删
独唱	duih#删
独自	duzi#删
对账	dvvh#删
倒是	dcui#删
登陆	dglu#删
低效	dixn#删
胆子	djzi#删
嘟嘟囔囔	ddnn#删
恶毒	eedu#删
儿媳	erxi#删
恶言相向	eyxx
反思	fjsi#删
附件	fujm#删
反悔	fjhv#删
发货	faho
发型	faxk#删
发炎	fayj#删
分割	ffge#删
粉红	ffhs#删
分界	ffjp#删
奋力	ffli#删
分神	ffuf#删
奉献	fgxm#删
访客	fhke#删
防守	fhuz
防伪	fhww#删
反腐	fjfu#删
凡人	fjrf#删
反之	fjvi#删
抚慰	fuww#删
费时	fwui#删
飞舞	fwwu#删
反查	fjia#删
分门别类	fmbl#删
飞扬跋扈	fybh#删
改编	gdbm#删
搞鬼	gcgv#删
高超	gcic#删
搞清	gcqk#删
鸽子	gezi#删
钢笔	ghbi#删
纲要	ghyc#删
光纤	glxm#删
国徽	gohv#删
国民	gomb#删
裹挟	goxp#删
聒噪	gozc#删
惯例	grli#删
关头	grtz#删
公会	gshv#删
共计	gsji#删
功名	gsmk#删
攻破	gspo#删
共用	gsys#删
公子	gszi#删
古文	guwf#删
桂花	gvhx#删
龟速	gvsu#删
过渡	godu#删
高速	gcsu#删
高效	gcxn#删
国情	goqk#删
官网	grwh#删
隔岸观火	gagh#删
高屋建瓴	gwjl#删
回忆	hvyi#删
华为	hxww#删
回复	hvfu#删
浩瀚	hchj#删
豪绅	hcuf#删
何妨	hefh#删
何尝	heih#删
汉奸	hjjm#删
皇权	hlqr#删
火势	houi#删
换了	hrle#删
换手	hruz#删
回报	hvbc#删
徽章	hvvh#删
滑雪	hxxt#删
后腿	hztv#删
后市	hzui#删
好吗	hcma#删
何时	heui#删
活着	hove#删
话费	hxfw#删
花繁叶茂	hfym#删
横挑鼻子竖挑眼	htby#删
回头一笑百媚生	htyu#删
尝尝	ihih#删
程度	igdu#删
插画	iahx#删
查出	iaiu#删
撤诉	iesu#删
车展	ievj#删
城堡	igbc#删
诚实	igui#删
诚信	igxb#删
尝到	ihdc#删
长篇	ihpm#删
场子	ihzi#删
迟了	iile#删
创伤	iluh#删
传导	irdc#删
冲高	isgc#删
重组	iszu#删
橱柜	iugv#删
初衷	iuvs#删
出于	iuyu#删
春节	iyjp#删
踌躇	iziu#删
超卖	icmd#删
吃香的喝辣的	ixdd#删
即使	jiui#删
叫唤	jnhr#删
假如	jxru#删
举例	juli#删
浆糊	jlhu#删
极为	jiww#删
奖金	jljb#删
剑鞘	jmqn#删
监听	jmtk#删
浇灌	jngr#删
接口	jpkz#删
解围	jpww#删
纠葛	jqge#删
军师	jyui#删
金发碧眼	jfby#删
将功补过	jgbg#删
将计就计	jjjj#删
济济一堂	jjyt#删
刻意	keyi
客服	kefu#删
堪称	kjig#删
快了	kkle#删
空缺	ksqt#删
亏钱	kvqm#删
喟叹	kvtj#删
跨过	kxgo#删
扣缴	kzjn#删
扣税	kzuv#删
两边	llbm#删
链接	lmjp#删
老实	lcui#删
理发	lifa#删
理工	ligs#删
零星	lkxk#删
连同	lmts#删
列支	lpvi#删
榴莲	lqlm#删
乱象	lrxl#删
聋子	lszi#删
履行	lvxk#删
临时抱佛脚	lubj#删
毛线	mcxm#删
毛衣	mcyi#删
迈过	mdgo#删
迈出	mdiu#删
迈入	mdru#删
懵逼	mgbi#删
蜜蜂	mifg#删
秘籍	miji#删
满族	mjzu#删
明知	mkvi#删
明晰	mkxi#删
免礼	mmli#删
免谈	mmtj#删
末位	moww#删
木板	mubj#删
美食	mwui#删
卖点	mddm#删
卖家	mdjx#删
卖票	mdpn#删
卖主	mdvu#删
命名	mkmk
每期	mwqi#删
没人	mwrf#删
迷迷糊糊	mmhh#删
美若天仙	mrtx#删
摸着石头过河	mvuh#删
年级	nmji#删
碾碎	nmsv#删
奴隶	nuli#删
内侧	nwce#删
内里	nwli#删
哪边	nabm#删
哪次	naci#删
哪点	nadm#删
哪儿	naer#删
哪个	nage#删
哪里	nali#删
哪天	natm#删
哪种	navs#删
哪位	naww#删
哪些	naxp#删
哪样	nayh#删
牌照	pdvc#删
派息	pdxi#删
盘升	pjug#删
瓶颈	pkjk#删
漂移	pnyi#删
颇费	pofw#删
破例	poli#删
破破烂烂	ppll#删
歧视	qiui#删
岂不	qibu#删
清静	qkjk#删
青涩	qkse#删
情谊	qkyi#删
枪毙	qlbi#删
墙纸	qlvi#删
潜力	qmli#删
嵌套	qmtc#删
瞧瞧	qnqn#删
权力	qrli#删
全套	qrtc#删
取笑	quxn#删
奇经八脉	qjbm
任职	rfvi#删
韧性	rfxk#删
若是	roui#删
乳汁	ruvi#删
入眼	ruyj#删
