---config@码表分类=主码-用户码表
---config@码表别名=用户
安装	a
$ddcmd(暗示,暗示i)	anu
$ddcmd(按键,按键_aj)	anjm
$ddcmd(按理,按理_al)	anli
$ddcmd(黯然,黯然_ar)	anrj
$ddcmd(暗自,暗自_az)	anzi
$ddcmd(安全,_aq)	anqr
$ddcmd(按照,_av)	anvc
$ddcmd(安排,_ap)	anpd
$ddcmd(按错,_ac)	anco
$ddcmd(安静,_aj)	anjk
$ddcmd(昂贵,_ag)	ahgv
$ddcmd(安慰,_aw)	anww
$ddcmd(爱惜,_ax)	aixi
$ddcmd(安保,_ab)	anbc
$ddcmd(安分,_af)	anff
$ddcmd(拗口,_ak)	aokz
$ddcmd(暗算,_as)	ansr
$ddcmd(凹凸,_at)	aotu
$ddcmd(安逸,_ay)	anyi
$ddcmd(暧昧,_am)	aimw
$ddcmd(挨饿,_ae)	aiee
$ddcmd(安定,_ad)	andk
剥离	bcli
比较	b
壁厚	bihz
报幕	bcmu#删
白日飞升	brfu#删
$ddcmd(不再,不再_bz)	buzd
$ddcmd(背景,背景_bj)	bwjk
$ddcmd(必须,_bx)	bixu
$ddcmd(不同,_bt)	buts
$ddcmd(保证,_bv)	bcvg
$ddcmd(并且,_bq)	bkqp
$ddcmd(必要,_by)	biyc
$ddcmd(比赛,_bs)	bisd
$ddcmd(本来,_bl)	bfld
$ddcmd(不然,_br)	burj
$ddcmd(不饿,_be)	buee
$ddcmd(不懂,_bd)	buds
磁粉	ciff
词库	c
参比	cjbi
采风	cdfg#删
$ddcmd(才能,_cn)	cdng
$ddcmd(错误,_cw)	cowu
$ddcmd(采取,_cq)	cdqu
$ddcmd(参考,_ck)	cjkc
$ddcmd(从来,_cl)	csld
$ddcmd(聪明,_cm)	csmk
$ddcmd(从不,_cb)	csbu
$ddcmd(从头,_ct)	cstz
$ddcmd(才行,_cx)	cdxk
$ddcmd(存盘,_cp)	cypj
$ddcmd(参加,_cj)	cjjx
$ddcmd(从前,_cq)	csqm
电火花	dhh
打	d
地床	diil
电极	dmji
电气	dmqi
电位	dmww
电涌	dmys
东沽	dsgu
东营	dsyk
短线	drxm#删
$ddcmd(达到,达到_dd)	dadc
$ddcmd(代表,_db)	ddbn
$ddcmd(地方,_df)	difh
$ddcmd(东西,_dx)	dsxi
$ddcmd(到了,_dl)	dcle
$ddcmd(代替,_dt)	ddti
$ddcmd(电脑,_dn)	dmnc
$ddcmd(打算,_ds)	dasr
$ddcmd(等着,_dv)	dgve
$ddcmd(当然,_dr)	dhrj
嗯嗯	e
$ddcmd(恶毒,恶毒_ed)	eedu
$ddcmd(儿科,儿科_ek)	erke
$ddcmd(而且,_eq)	erqp
$ddcmd(儿童,_et)	erts
$ddcmd(而已,_ey)	eryi
$ddcmd(儿子,_ez)	erzi
$ddcmd(恶搞,_eg)	eegc
$ddcmd(而不,_eb)	erbu
$ddcmd(耳机,_ej)	erji
$ddcmd(恶劣,_el)	eelp
$ddcmd(二者,_ev)	erve
$ddcmd(额外,_ew)	eewd
$ddcmd(而非,_ef)	erfw
$ddcmd(噩梦,_em)	eemg
$ddcmd(恩赐,_ec)	enci
$ddcmd(恩爱,_ea)	enai
$ddcmd(饿死,_es)	eesi
$ddcmd(恶心,_ex)	eexb
$ddcmd(恶评,_ep)	eepk
防腐	fhfu
复杂	f
敷设	fuue
发力	fali#删
风力	fgli#删
$ddcmd(反映,反应k)	fjy
$ddcmd(分别,分别_fb)	ffbp
$ddcmd(反对,反对_fd)	fjdv
$ddcmd(反悔,反悔_fh)	fjhv
$ddcmd(附件,附件_fj)	fujm
$ddcmd(方面,_fm)	fhmm
$ddcmd(发现,_fx)	faxm
$ddcmd(非常,_fi)	fwih
$ddcmd(方便,_fb)	fhbm
$ddcmd(分配,_fp)	ffpw
$ddcmd(放弃,_fq)	fhqi
$ddcmd(繁体,_ft)	fjti
$ddcmd(反而,_fe)	fjer
$ddcmd(否认,_fr)	fzrf
$ddcmd(放松,_fs)	fhss
$ddcmd(反馈,_fk)	fjkv
$ddcmd(烦恼,_fn)	fjnc
$ddcmd(反正,_fv)	fjvg
$ddcmd(讽刺,_fc)	fgci
$ddcmd(分钟,_fv)	ffvs
$ddcmd(发送,_fs)	fass
$ddcmd(否则,_fz)	fzze
$ddcmd(分类,_fl)	fflw
$ddcmd(分享,_fx)	ffxl
港华	ghhx
管	g
甘汞	gjgs
挂片	gxpm
$ddcmd(过程,过程_gi)	goig
$ddcmd(功能,_gn)	gsng
$ddcmd(根本,_gb)	gfbf
$ddcmd(过去,_gq)	goqu
$ddcmd(沟通,_gt)	gzts
$ddcmd(公平,_gp)	gspk
$ddcmd(干嘛,_gm)	gjma
$ddcmd(刚刚,_gg)	ghgh
$ddcmd(感觉,_gj)	gjjt
$ddcmd(公司,_gs)	gssi
$ddcmd(更新,_gx)	ggxb
$ddcmd(规则,_gz)	gvze
$ddcmd(跟着,_gv)	gfve
海管	hdgr
忽略	h
幻影	hryk
$ddcmd(回复,回复_hf)	hvfu
$ddcmd(湖南,_hn)	hunj
$ddcmd(好处,_hi)	hciu
$ddcmd(后面,_hm)	hzmm
$ddcmd(回去,_hq)	hvqu
$ddcmd(害怕,_hp)	hdpa
$ddcmd(何必,_hb)	hebi
$ddcmd(后天,_ht)	hztm
场站	ihvj
重新	i
厂站	ihvj
$ddcmd(串通,串通s)	irt
$ddcmd(程度,程度_id)	igdu
$ddcmd(尝尝,尝尝_ii)	ihih
$ddcmd(产品,_ip)	ijpb
$ddcmd(出现,_ix)	iuxm
$ddcmd(成本,_ib)	igbf
$ddcmd(承诺,_in)	igno
$ddcmd(重启,_iq)	isqi
$ddcmd(重码,_im)	isma
$ddcmd(窗口,_ik)	ilkz
极化	jihx
见	j
纪要	jiyc
精力	jkli
监理	jmli
见效	jmxn
监造	jmzc
介质	jpvi
甲板	jxbj
$ddcmd(极为,极为_jw)	jiww
$ddcmd(即使,即使_ju)	jiui
$ddcmd(今天,今天_jt)	jbtm
$ddcmd(极其,极其_jq)	jiqi
$ddcmd(举例,举例_jl)	juli
$ddcmd(假如,假如_jr)	jxru
$ddcmd(精彩,_jc)	jkcd
$ddcmd(解决,_jj)	jpjt
$ddcmd(结果,_jg)	jpgo
$ddcmd(金额,_je)	jbee
$ddcmd(几乎,_jh)	jihu
$ddcmd(解放,_jf)	jpfh
$ddcmd(骄傲,_ja)	jnao
$ddcmd(节奏,_jz)	jpzz
$ddcmd(奇偶,_jo)	jiou
$ddcmd(绝对,_jd)	jtdv
$ddcmd(尽管,_jg)	jbgr
$ddcmd(渐渐,_jj)	jmjm
$ddcmd(几天,_jt)	jitm
垦利	kfli
可以	k
跨接	kxjp
$ddcmd(可能,_kn)	keng
$ddcmd(开头,_kt)	kdtz
$ddcmd(昆明,_km)	kymk
$ddcmd(开车,_ki)	kdie
$ddcmd(恐怖,_kb)	ksbu
$ddcmd(恐怕,_kp)	kspa
$ddcmd(况且,_kq)	klqp
$ddcmd(困难,_kn)	kynj
$ddcmd(看出,_ki)	kjiu
沥青	liqk
理解	l
立项	lixl
略码	ltma
卢新鹏	lxp
漏磁	lzci
率	lv
绿	lvs
$ddcmd(链接,链接_lj)	lmjp
$ddcmd(两天,_lt)	lltm
$ddcmd(了解,_lj)	lnjp
$ddcmd(浪费,_lf)	lhfw
$ddcmd(论坛,_lt)	lytj
魔兽	mouz
没有	m
卖主求荣	mvqr#删
$ddcmd(面前,面前_mq)	mmqm
$ddcmd(美丽,美丽_ml)	mwli
$ddcmd(貌似,_ms)	mcsi
$ddcmd(满意,_my)	mjyi
$ddcmd(目前,_mq)	muqm
$ddcmd(明显,_mx)	mkxm
$ddcmd(明天,_mt)	mktm
$ddcmd(默认,_mr)	morf
$ddcmd(慢慢,_mm)	mjmj
$ddcmd(每天,_mt)	mwtm
$ddcmd(没有,_my)	mwyz
农妇	nsfu#删
内容	n
农畜	nsiu#删
年年岁岁花相似	nnss#删
哪有不湿鞋	nybx#删
$ddcmd(那些,那些_nx)	naxp
$ddcmd(那样,那样_ny)	nayh
$ddcmd(努力,努力_nl)	nuli
$ddcmd(难道,_nd)	njdc
$ddcmd(脑子,_nz)	nczi
哦哦	o
$ddcmd(偶尔,_eo)	ouer
$ddcmd(欧洲,_ov)	ouvz
$ddcmd(偶尔,_oe)	ouer
$ddcmd(偶然,_or)	ourj
$ddcmd(偶像,_ox)	ouxl
$ddcmd(欧阳,_oy)	ouyh
$ddcmd(呕吐,_ot)	outu
排流	pdlq
皮肤	p
判据	pjju
$ddcmd(培训,_px)	pwxy
$ddcmd(平台,_pt)	pktd
$ddcmd(配置,_pv)	pwvi
$ddcmd(漂亮,_pl)	pnll
$ddcmd(脾气,_pq)	piqi
$ddcmd(配送,_ps)	pwss
$ddcmd(普洱,_pe)	puer
$ddcmd(骗人,_pr)	pmrf
$ddcmd(拼音,_py)	pbyb
躯壳	quqn#删
期	q
$ddcmd(歧视,歧视_qu)	qiui
$ddcmd(千万,千万_qw)	qmwj
$ddcmd(其中,_qv)	qivs
$ddcmd(确定,_qd)	qtdk
$ddcmd(缺乏,_qf)	qtfa
$ddcmd(其次,_qc)	qici
$ddcmd(亲自,_qz)	qbzi
$ddcmd(奇怪,_qg)	qigk
$ddcmd(全额,_qe)	qree
$ddcmd(切换,_qh)	qphr
$ddcmd(群殴,_qo)	qyou
$ddcmd(情况,_qk)	qkkl
$ddcmd(前面,_qm)	qmmm
$ddcmd(恰恰,_qq)	qxqx
$ddcmd(确认,_qr)	qtrf
$ddcmd(其他,_qt)	qita
人物	rwn
然后	r
$ddcmd(日期,_rq)	riqi
$ddcmd(认为,_rw)	rfww
$ddcmd(日本,_rb)	ribf
$ddcmd(如下,_rx)	ruxx
$ddcmd(认真,_rv)	rfvf
$ddcmd(人们,_rm)	rfmf
$ddcmd(容易,_ry)	rsyi
$ddcmd(人类,_rl)	rflw
$ddcmd(认可,_rk)	rfke
$ddcmd(热爱,_ra)	reai
$ddcmd(认同,_rt)	rfts
$ddcmd(热闹,_rn)	renc
$ddcmd(人品,_rp)	rfpb
$ddcmd(认得,_rd)	rfde
$ddcmd(仍然,_rr)	rgrj
$ddcmd(热线,_rx)	rexm
缩编	sobm#删
所有	s
$ddcmd(速度,速度_sd)	sudu
$ddcmd(所以,_sy)	soyi
$ddcmd(思想,_sx)	sixl
$ddcmd(思考,_sk)	sikc
$ddcmd(所谓,_sw)	soww
$ddcmd(似乎,_sh)	sihu
$ddcmd(随便,_sb)	svbm
$ddcmd(索取,_sq)	soqu
$ddcmd(算了,_sl)	srle
$ddcmd(碎片,_sp)	svpm
$ddcmd(随你,_sn)	svni
$ddcmd(三天,_st)	sjtm
$ddcmd(虽然,_sr)	svrj
$ddcmd(搜索,_ss)	szso
$ddcmd(随着,_sv)	svve
$ddcmd(索赔,_sp)	sopw
$ddcmd(洒脱,_st)	sato
套管	tcgr
提供	t
塘沽	thgu
探伤	tjuh
涂层	tucg
偷摸	tzmo
条例	tnli#删
$ddcmd(太晚,太晚j)	tdw
$ddcmd(统一,统一_ty)	tsyi
$ddcmd(推导,推导_td)	tvdc
$ddcmd(特别,_tb)	tebp
$ddcmd(讨论,_tl)	tcly
$ddcmd(同学,_tx)	tsxt
$ddcmd(天气,_tq)	tmqi
$ddcmd(天天,_tt)	tmtm
$ddcmd(头发,_tf)	tzfa
$ddcmd(推广,_tg)	tvgl
$ddcmd(推荐,_tj)	tvjm
$ddcmd(淘汰,_tt)	tctd
$ddcmd(投资,_tz)	tzzi
闪动	ude
时	u
试片	uipm
生化	ughx#删
上场	uhih#删
书摊	uutj#删
水文	uvwf#删
$ddcmd(伤害,伤害_uh)	uhhd
$ddcmd(世纪,世纪_uj)	uiji
$ddcmd(束缚,束缚_uf)	uufu
$ddcmd(收到,收到_ud)	uzdc
$ddcmd(什么,_sm)	ufme
$ddcmd(首先,_ux)	uzxm
$ddcmd(事情,_uq)	uiqk
$ddcmd(身体,_ut)	ufti
$ddcmd(上面,_um)	uhmm
$ddcmd(顺便,_ub)	uybm
$ddcmd(双拼,_up)	ulpb
$ddcmd(什么,什么_sm)	ufme
直流	vilq
之	v
战	vj
整句	vj#删
$ddcmd(智能,智能g)	vin
$ddcmd(征服,征服_vf)	vgfu
$ddcmd(主意,主意_vy)	vuyi
$ddcmd(追求,追求_vq)	vvqq
$ddcmd(这样,_vy)	veyh
$ddcmd(掌握,_vw)	vhwo
$ddcmd(准备,_vb)	vybw
$ddcmd(正确,_vq)	vgqt
$ddcmd(这么,_vm)	veme
$ddcmd(折腾,_vt)	vetg
$ddcmd(只怕,_vp)	vipa
$ddcmd(这次,_vc)	veci
$ddcmd(支持,_vi)	viii
$ddcmd(真正,_vv)	vfvg
$ddcmd(这些,_vx)	vexp
$ddcmd(正在,_vz)	vgzd
$ddcmd(直接,_vj)	vijp
$ddcmd(周围,_vw)	vzww
主意	vuyi#删
$ddcmd(整句,整句_vj)	vgju
$ddcmd(整句,整句_aq)	vgju
外购	wdgz
位	w
委外	wwwd
王后	whhz#删
$ddcmd(文字,文字_wz)	wfzi
$ddcmd(玩儿,玩儿_we)	wjer
$ddcmd(猥琐,猥琐_ws)	wwso
$ddcmd(微信,微信_wx)	wwxb
$ddcmd(五笔,五笔_wb)	wubi
$ddcmd(我们,_wm)	womf
$ddcmd(问题,_wt)	wfti
$ddcmd(完成,_wi)	wjig
$ddcmd(为了,_wl)	wwle
$ddcmd(完全,_wq)	wjqr
$ddcmd(唯一,_wy)	wwyi
$ddcmd(为此,_wc)	wwci
$ddcmd(无奈,_wn)	wund
$ddcmd(唯恐,_wk)	wwks
$ddcmd(网盘,_wp)	whpj
$ddcmd(味道,_wd)	wwdc
$ddcmd(完美,_wm)	wjmw
玩儿	wjer#删
$ddcmd(为止,为止_wv)	wwvi
未知	wwvi#删
$ddcmd(微软,_wr)	wwrr
仙剑	xmjm
显示	x
醒了	xkle#删
歇着	xpve#删
雄起	xsqi#删
香港中文大学	xgvx#删
$ddcmd(西欧,西欧_xo)	xiou
$ddcmd(险恶,险恶_xe)	xmee
$ddcmd(修正,修正_xv)	xqvg
$ddcmd(选择,选择_xz)	xrze
$ddcmd(下次,下次_xc)	xxci
$ddcmd(现在,_xz)	xmzd
$ddcmd(需要,_xy)	xuyc
$ddcmd(希望,_xw)	xiwh
$ddcmd(喜欢,_xh)	xihr
$ddcmd(西安,_xa)	xian
$ddcmd(相当,_xd)	xldh
$ddcmd(习惯,_xg)	xigr
$ddcmd(相反,_xf)	xlfj
$ddcmd(下周,_xv)	xxvz
$ddcmd(修改,_xg)	xqgd
$ddcmd(学习,_xx)	xtxi
西欧	xiou#删
阴极	ybji
有时	y
阳极	yhji
阴极保护	yjbh
盐桥	yjqn
一个天上一个地下	ygtx#删
$ddcmd(云南,云南_yn)	yynj
$ddcmd(一边,一边_yb)	yibm
$ddcmd(一定,_yd)	yidk
$ddcmd(要求,_yq)	ycqq
$ddcmd(因为,_yw)	ybww
$ddcmd(应该,_yg)	ykgd
$ddcmd(原来,_yl)	yrld
$ddcmd(缘分,_yf)	yrff
$ddcmd(郁闷,_ym)	yumf
杂散	zasj
自动	z
纵有	zsyz#删
$ddcmd(在线,在线_zx)	zdxm
$ddcmd(总共,总共_zg)	zsgs
$ddcmd(总算,总算_zs)	zssr
$ddcmd(座位,座位_zw)	zoww
$ddcmd(自己,_zj)	ziji
$ddcmd(作品,_zp)	zopb
$ddcmd(自然,_zr)	zirj
$ddcmd(怎么,_zm)	zfme
$ddcmd(怎样,_zy)	zfyh
$ddcmd(昨天,_zt)	zotm
$ddcmd(走了,_zl)	zzle
$ddcmd(暂且,_zq)	zjqp
$ddcmd(怎能,_zn)	zfng
$ddcmd(咋不,_zb)	zabu
$ddcmd(最快,_zk)	zvkk
$ddcmd(最终,_zv)	zvvs
$ddcmd(按时,按时_au)	anui#固
$ddcmd(按到,按到_ad)	andc#固
$ddcmd(而是,而是_eu)	erui#固
$ddcmd(反应,反应_fy)	fjyk#固
$ddcmd(成为,成为_iw)	igww#固
$ddcmd(传统,传统_it)	irts#固
$ddcmd(即可,即可_jk)	jike#固
$ddcmd(计算,计算_js)	jisr#固
$ddcmd(今晚,今晚_jw)	jbwj#固
$ddcmd(简单,简单_jd)	jmdj#固
$ddcmd(简直,简直_jv)	jmvi#固
$ddcmd(基本,基本_jb)	jibf#固
$ddcmd(精彩,精彩_jc)	jkcd#固
$ddcmd(几位,几位_jw)	jiww#固
$ddcmd(联系,联系_lx)	lmxi#固
$ddcmd(两位,两位_lw)	llww#固
$ddcmd(每周,每周_mv)	mwvz#固
$ddcmd(貌似,貌似_ms)	mcsi#固
$ddcmd(期间,期间_qj)	qijm#固
$ddcmd(任务,任务_rw)	rfwu#固
$ddcmd(台湾,台湾_tw)	tdwj#固
$ddcmd(神似,神似_us)	ufsi#固
$ddcmd(试试,试试_uu)	uiui#固
$ddcmd(知道,知道_vd)	vidc#固
$ddcmd(只会,只会_vh)	vihv#固
$ddcmd(只能,只能_vn)	ving#固
$ddcmd(只是,只是_vu)	viui#固
$ddcmd(微软,微软_wr)	wwrr#固
$ddcmd(位置,位置_wv)	wwvi#固
$ddcmd(下面,下面_xm)	xxmm#固
$ddcmd(现金,现金_xj)	xmjb#固
$ddcmd(小时,小时_xu)	xnui#固
$ddcmd(一片,一片_yp)	yipm#固
$ddcmd(一直,一直_yv)	yivi#固
$ddcmd(一下,一下_yx)	yixx#固
$ddcmd(一定,一定_yd)	yidk#固
