---config@码表分类=主码-2
---config@码表别名=表外字
啱	anku
捱	aift
鿫	aoqd
揞	anfo
垇	aota
荌	ancn
荌	anc
娭	ainu
菴	ancd
咹	ankn
粄	bjmy
抦	bkfb
㞎	baub
揼	bgfu
揼	bgf
屄	biub
噃	bokt
𰻝	blzx
猋	bnqq
仌	bkrr
髟	bnap
麃	bngh
勹	bcpv
釆	bmpm
犮	baud
夲	bfdu
肶	biob
髈	bhgf
跘	bjzb
峇	baek
喰	cjkl
麤	cugb
啋	cdkm
膥	cymr
潀	csdr
吋	cykc
囪	cspd
膬	cvom
肏	ccr
啲	diku
哋	diky
俤	dirp
掟	dkfr
掟	dkf
唞	dzku
喥	doky
妉	djnv
妉	djn
丼	djjd
㨃	dvf
㨃	dvfz
甙	ddy
甙	ddyg
㝵	deoc
啇	diwk
屌	dnu
诶	eiyu
奀	enbd
瞓	ffoi
凨	fgjs
凬	fgjo
畐	fuat
巿	fual
嬎	fjnu
嘅	gekv
咁	gjkg
攰	gvul
啩	gxkb
菓	gocg
菓	goc
㗎	gakm
芶	gzcs
広	glgs
巭	gugf
鿔	gejk
玽	gzwk
朒	gaor
畊	ggtj
骭	gjgg
槅	geml
嗰	gokk
咼	golk
冓	gzar
颪	gxxi
厷	gsus
夰	gcdl
閪	hdmx
嚡	hdkt
磺	hlub
磺	hlu
恏	hcnx
犼	hzqv
嬅	hxnl
嫮	hunk
姀	henh
噷	hmkr
㧾	hufx
蒦	hocy
籺	hemq
糀	hxmb
唓	ieki
唓	iek
䌷	izsy
莀	ifc
莀	ifcn
裯	izpk
黐	iihd
䗉	ihio
䖝	ispi
氶	igln
呎	iiki
豖	iuan
搊	izfp
囝	jmkz
囧	jsk
囧	jskv
筊	jnvx
瑊	jmwk
丼	jkjd
妜	jtng
妜	jtn
瀞	jkdl
硷	jmua
毑	jpmy
嘦	jnkn
澋	jkdx
旡	jiav
疌	jpar
劵	jrjl
畺	jlaa
啳	jtkv
亽	jird
価	jxrx
冚	kjbe
冚	kjb
堀	kuti
佧	karb
蚵	keik
崑	kyeb
崑	kye
㨤	kkff
跍	kuzk
垰	katx
㮟	kamm
冧	lbbm
粦	lbml
嚟	liku
躝	ljzj
躝	ljz
〇	lkvv
攞	loff
垅	lstl
玏	lew
玏	lewl
砳	leuu
敹	lnlw
敹	lnl
朤	lhoo
菈	lacl
瑠	lqwt
咾	lckb
睖	lgow
尞	lndx
坴	lutt
夌	lktw
畾	lwtt
厽	lwss
蛯	lcib
睩	luou
炩	lkhs
慜	mbpx
冇	mcuk
冇	mcu
擝	mgfm
搣	mpfm
搣	mpfh
槑	mwkm
躾	mwud
尛	moxx
尛	mox
莯	mucm
沵	midx
濛	mgdu
濛	mgdn
踎	mzzk
渳	mide
嫲	manm
吂	mhwk
㒼	mjnr
唸	nmkx
唸	nmk
嗱	naku
嫐	ncnn
嫐	ncn
嬢	nlny
撚	nmfh
惗	nmxx
嬲	nntl
嬲	nnt
鲶	nmax
雫	nayx
氼	niur
妳	ninx
苶	npcx
鿭	nijx
㑎	ncre
囝	njkz
呯	pkkp
呯	pkk
膖	phoz
盻	pjov
𤆵	pah
𤆵	pahb
麃	pcgh
潎	ppdw
毰	pwmk
拚	pjf
拚	pjfc
拚	pbfc
咅	pzlk
髈	phgf
跘	pjzb
榀	pbm
珮	pww
炁	qiah
螓	qbih
螓	qbi
靘	qkfb
郬	qkfe
㞗	qquq
㞗	qqu
佢	qurj
佢	qur
跫	qsgr
暒	qkou
欋	qumf
丌	qial
娸	qinb
毬	qqmq
夋	qysw
凊	qkdo
䠍	qxzy
霋	qiyn
朊	rroe
叒	royy
叒	roy
惢	rvxx
珃	rjwr
挼	rofn
挼	rxfn
挼	rof
挼	rxf
䒤	rico
礽	rgpn
忈	rfex
厹	rzjs
嘥	sdkr
嗮	sdkx
𪨊	ssu
㞞	ssur
惢	soxx
亖	siee
毸	sdmx
糸	siyx
椮	sfmp
椮	sfm
㱔	sovx
玊	suw
㓥	thxd
薙	ticf
畑	tmht
祂	tapy
兲	tmwb
鿬	tmut
怹	tjrx
氽	tyru
氽	tyr
乇	topq
遝	tazd
斢	tncu
牠	tany
昰	uiov
実	uibn
羴	ujyy
琞	ugoy
焺	ughu
湦	ugdu
灀	uldo
搧	ujfx
棯	ufmx
罧	ufsm
珄	ugw
嗻	vekh
炤	vchk
凪	vijv
跩	vkzy
㨄	vzfk
㨄	vzf
氶	vgln
煠	vahm
砦	vdv
喎	wokk
揾	wffm
揾	wff
烓	wwht
搲	waf
搲	wafg
昷	wfom
夗	wjxv
禑	wupy
罖	whsd
卍	wjvl
卐	wjva
卌	xial
喺	xikx
係	xirx
咲	xnkt
昍	xroo
翧	xrbx
婋	xnnj
嚱	xikg
杺	xbmx
枔	xbm
枔	xbmv
妡	xbnj
盻	xiov
蟳	xyic
揎	xrfa
馫	xbho
鱻	xmaa
匂	xsbb
嘢	yekl
吔	yeky
桜	ykmn
円	yrka
込	yuzr
烎	ybkh
埜	yemt
晹	yiow
琂	yjwk
蕥	yacf
妜	ytng
妜	ytn
嫛	yikn
楢	yzmy
䍃	ycpf
昜	yhow
肙	yrko
辷	yiza
畩	yity
枼	yeum
伝	yyrs
戉	ytad
戉	ytg
贠	yysr
冴	yady
犽	yaqy
咗	zokg
沢	zedi
姕	zivn
潀	zsdr
喿	zckm
