---config@码表分类=主码-6
---config@码表别名=Ｏ符
😊	oi
👌	ok
~	op
‰	oq
_	ow
&	oa
*	os
$	od
^	of
=	oh
#	oj
|	ol
+	oz
-	oc
%	ob
<	on
>	om
$ddcmd(一,横_一)	oba
$ddcmd(丨,竖_丨)	obl
$ddcmd(丿,撇_丿)	obp
$ddcmd(丶,点_丶)	obd
$ddcmd(乛,折_乛)	obv
$ddcmd(乀,捺_乀)	obn
$ddcmd(鱼,鱼)	oba
$ddcmd(冖,冖)	obb
$ddcmd(宀,宀)	obb
$ddcmd(丷,丷)	obb
$ddcmd(疒,疒)	obb
$ddcmd(勹,勹)	obb
$ddcmd(比左,比左)	obb
$ddcmd(艹,艹)	obc
$ddcmd(廾,廾)	obc
$ddcmd(冫,冫)	obd
$ddcmd(氵,氵)	obd
$ddcmd(刂,刂)	obd
$ddcmd(⺈,⺈)	obd
$ddcmd(阝,阝)	obe
$ddcmd(卩,卩)	obe
$ddcmd(彐,彐)	obe
$ddcmd(山,山)	obe
$ddcmd(见下,见下)	obe
$ddcmd(扌,扌)	obf
$ddcmd(龶,龶)	obf
$ddcmd(寿上,寿上)	obf
$ddcmd(带上,带上)	obf
$ddcmd(缶,缶)	obf
$ddcmd(既左,既左)	obg
$ddcmd(艮,艮)	obg
$ddcmd(鬼,鬼)	obg
$ddcmd(革,革)	obg
$ddcmd(骨,骨)	obg
$ddcmd(灬,灬)	obh
$ddcmd(虍,虍)	obh
$ddcmd(黑,黑)	obh
$ddcmd(余下,余下)	obh
$ddcmd(彳,彳)	obi
$ddcmd(亍,亍)	obi
$ddcmd(虫,虫)	obi
钅	obj
$ddcmd(金,金)	obj
$ddcmd(龹,龹)	obj
$ddcmd(匚,匚)	obk
$ddcmd(冂,冂)	obk
$ddcmd(凵,凵)	obk
$ddcmd(囗,囗)	obk
$ddcmd(㠯,㠯)	obk
$ddcmd(耂,耂)	obl
$ddcmd(立,立)	obl
$ddcmd(龙,龙)	obl
$ddcmd(朩,朩)	obm
$ddcmd(⺧,⺧)	obn
$ddcmd(牜,牜)	obn
$ddcmd(日,日)	obo
$ddcmd(月,月)	obo
$ddcmd(目,目)	obo
$ddcmd(礻,礻)	obp
$ddcmd(衤,衤)	obp
$ddcmd(犭,犭)	obq
$ddcmd(求,求)	obq
$ddcmd(具上,具上)	obq
$ddcmd(其上,其上)	obq
$ddcmd(亻,亻)	obr
纟	obs
$ddcmd(厶,厶)	obs
$ddcmd(龴,龴)	obs
$ddcmd(罒,罒)	obs
$ddcmd(田,田)	obt
饣	obu
$ddcmd(龵,龵)	obu
$ddcmd(𠂇,𠂇)	obu
$ddcmd(氺,氺)	obu
$ddcmd(石,石)	obu
$ddcmd(⺮,⺮)	obv
$ddcmd(豸,豸)	obv
$ddcmd(亠,亠)	obw
$ddcmd(夂,夂)	obw
$ddcmd(攵,攵)	obw
$ddcmd(文,文)	obw
$ddcmd(忄,忄)	obx
$ddcmd(乂,乂)	obx
$ddcmd(⺍,⺍)	obx
$ddcmd(⺌,⺌)	obx
$ddcmd(⺗,⺗)	obx
讠	oby
$ddcmd(⺶,⺶)	oby
$ddcmd(⺷,⺷)	oby
$ddcmd(𧘇,𧘇)	oby
$ddcmd(羊,羊)	oby
$ddcmd(⻊,⻊)	obz
$ddcmd(廴,廴)	obz
$ddcmd(辶,辶)	obz
$ddcmd(“”keyboard(<37>),“”)	ofbd
$ddcmd(‘’keyboard(<37>),‘’)	ofbd
$ddcmd(《》keyboard(<37>),《》)	ofbd
$ddcmd(〈〉keyboard(<37>),〈〉)	ofbd
$ddcmd(（）keyboard(<37>),（）)	ofbd
$ddcmd(〔〕keyboard(<37>),〔〕)	ofbd
$ddcmd(「」keyboard(<37>),「」)	ofbd
$ddcmd(『』keyboard(<37>),『』)	ofbd
$ddcmd(【】keyboard(<37>),【】)	ofbd
$ddcmd(〖〗keyboard(<37>),〖〗)	ofbd
$ddcmd(［］keyboard(<37>),［］)	ofbd
$ddcmd(｛｝keyboard(<37>),｛｝)	ofbd
$ddcmd(．,．)	ofbd
$ddcmd(。,。)	ofbd
$ddcmd(，,，)	ofbd
$ddcmd(、,、)	ofbd
$ddcmd(；,；)	ofbd
$ddcmd(：,：)	ofbd
$ddcmd(？,？)	ofbd
$ddcmd(！,！)	ofbd
$ddcmd(…,…)	ofbd
$ddcmd(—,—)	ofbd
$ddcmd(·,·)	ofbd
$ddcmd(ˉ,ˉ)	ofbd
$ddcmd(ˇ,ˇ)	ofbd
$ddcmd(¨,¨)	ofbd
$ddcmd(々,々)	ofbd
$ddcmd(～,～)	ofbd
$ddcmd(‖,‖)	ofbd
$ddcmd(∶,∶)	ofbd
$ddcmd(＂,＂)	ofbd
$ddcmd(＇,＇)	ofbd
$ddcmd(｀,｀)	ofbd
$ddcmd(｜,｜)	ofbd
$ddcmd(㎎,㎎)	ofdw
$ddcmd(㎏,㎏)	ofdw
$ddcmd(㎜,㎜)	ofdw
$ddcmd(㎝,㎝)	ofdw
$ddcmd(㎞,㎞)	ofdw
$ddcmd(㎡,㎡)	ofdw
$ddcmd(nm,nm)	ofdw
$ddcmd(μm,μm)	ofdw
$ddcmd(μg,μg)	ofdw
$ddcmd(㏄,㏄)	ofdw
$ddcmd(㏎,㏎)	ofdw
$ddcmd(㏑,㏑)	ofdw
$ddcmd(㏒,㏒)	ofdw
$ddcmd(㏕,㏕)	ofdw
$ddcmd(А,А)	ofed
$ddcmd(Б,Б)	ofed
$ddcmd(В,В)	ofed
$ddcmd(Г,Г)	ofed
$ddcmd(Д,Д)	ofed
$ddcmd(Е,Е)	ofed
$ddcmd(Ж,Ж)	ofed
$ddcmd(З,З)	ofed
$ddcmd(И,И)	ofed
$ddcmd(Й,Й)	ofed
$ddcmd(К,К)	ofed
$ddcmd(Л,Л)	ofed
$ddcmd(М,М)	ofed
$ddcmd(Н,Н)	ofed
$ddcmd(О,О)	ofed
$ddcmd(П,П)	ofed
$ddcmd(Р,Р)	ofed
$ddcmd(С,С)	ofed
$ddcmd(Т,Т)	ofed
$ddcmd(У,У)	ofed
$ddcmd(Ф,Ф)	ofed
$ddcmd(Х,Х)	ofed
$ddcmd(Ц,Ц)	ofed
$ddcmd(Ч,Ч)	ofed
$ddcmd(Ш,Ш)	ofed
$ddcmd(Щ,Щ)	ofed
$ddcmd(Ъ,Ъ)	ofed
$ddcmd(Ы,Ы)	ofed
$ddcmd(Ь,Ь)	ofed
$ddcmd(Э,Э)	ofed
$ddcmd(Ю,Ю)	ofed
$ddcmd(Я,Я)	ofed
$ddcmd(Ё,Ё)	ofed
$ddcmd(а,а)	ofex
$ddcmd(б,б)	ofex
$ddcmd(в,в)	ofex
$ddcmd(г,г)	ofex
$ddcmd(д,д)	ofex
$ddcmd(е,е)	ofex
$ddcmd(ж,ж)	ofex
$ddcmd(з,з)	ofex
$ddcmd(и,и)	ofex
$ddcmd(й,й)	ofex
$ddcmd(к,к)	ofex
$ddcmd(л,л)	ofex
$ddcmd(м,м)	ofex
$ddcmd(н,н)	ofex
$ddcmd(о,о)	ofex
$ddcmd(п,п)	ofex
$ddcmd(р,р)	ofex
$ddcmd(с,с)	ofex
$ddcmd(т,т)	ofex
$ddcmd(у,у)	ofex
$ddcmd(ф,ф)	ofex
$ddcmd(х,х)	ofex
$ddcmd(ц,ц)	ofex
$ddcmd(ч,ч)	ofex
$ddcmd(ш,ш)	ofex
$ddcmd(щ,щ)	ofex
$ddcmd(ъ,ъ)	ofex
$ddcmd(ы,ы)	ofex
$ddcmd(ь,ь)	ofex
$ddcmd(э,э)	ofex
$ddcmd(ю,ю)	ofex
$ddcmd(я,я)	ofex
$ddcmd(ё,ё)	ofex
$ddcmd(⒈,⒈)	ofdu
